year,month,adm0_name,adminstrata,rCSI Mean
2018,7,Yemen,Al Bayda,17.776409
2018,7,Yemen,Al Hudaydah,19.234699
2018,7,Yemen,Al Jawf,19.066441
2018,7,Yemen,Al Maharah,7.35742
2018,7,Yemen,Al Mahwit,20.630091
2018,7,Yemen,Amran,23.586599
2018,7,Yemen,Dhamar,24.74411
2018,7,Yemen,Hadramaut,14.55657
2018,7,Yemen,Hajjah,23.303789
2018,7,Yemen,Ibb,19.50848
2018,7,Yemen,Lahj,13.7589
2018,7,Yemen,Marib,19.81838
2018,7,Yemen,Raymah,20.855261
2018,7,Yemen,Sa'dah,19.562309
2018,7,Yemen,Sana'a,22.260349
2018,7,Yemen,Sana'a City,23.89221
2018,7,Yemen,Shabwah,11.69803
2018,7,Yemen,Taizz,17.309469
2018,8,Yemen,Abyan,17.252991
2018,8,Yemen,Ad Dali,19.782221
2018,8,Yemen,Aden,12.30108
2018,8,Yemen,Al Bayda,16.194651
2018,8,Yemen,Al Hudaydah,20.108061
2018,8,Yemen,Al Jawf,22.291059
2018,8,Yemen,Al Maharah,10.4408
2018,8,Yemen,Al Mahwit,22.599091
2018,8,Yemen,Amran,19.4275
2018,8,Yemen,Dhamar,22.51742
2018,8,Yemen,Hadramaut,21.96347
2018,8,Yemen,Hajjah,24.65259
2018,8,Yemen,Ibb,21.35652
2018,8,Yemen,Lahj,16.071541
2018,8,Yemen,Marib,18.69351
2018,8,Yemen,Raymah,21.74506
2018,8,Yemen,Sa'dah,17.943291
2018,8,Yemen,Sana'a,20.81287
2018,8,Yemen,Sana'a City,22.54178
2018,8,Yemen,Shabwah,15.6421
2018,8,Yemen,Taizz,19.981489
2018,9,Yemen,Yemen,21.856371
2018,9,Yemen,Abyan,18.60651
2018,9,Yemen,Ad Dali,19.798731
2018,9,Yemen,Aden,16.245831
2018,9,Yemen,Al Bayda,20.587811
2018,9,Yemen,Al Hudaydah,21.401091
2018,9,Yemen,Al Jawf,25.825251
2018,9,Yemen,Al Mahwit,23.806061
2018,9,Yemen,Amran,21.12698
2018,9,Yemen,Dhamar,22.73831
2018,9,Yemen,Hadramaut,20.366819
2018,9,Yemen,Hajjah,25.897961
2018,9,Yemen,Ibb,23.20356
2018,9,Yemen,Lahj,18.46981
2018,9,Yemen,Marib,18.10166
2018,9,Yemen,Raymah,19.64926
2018,9,Yemen,Sa'dah,17.688801
2018,9,Yemen,Sana'a,23.567801
2018,9,Yemen,Sana'a City,25.561041
2018,9,Yemen,Shabwah,14.96393
2018,9,Yemen,Taizz,21.737551
2018,10,Yemen,Yemen,23.717621
2018,10,Yemen,Abyan,17.810659
2018,10,Yemen,Ad Dali,21.980391
2018,10,Yemen,Aden,18.994011
