year,month,adm0_name,adminstrata,FCS Mean
2018,7,Yemen,Ad Dali,50.086899
2018,7,Yemen,Aden,66.508919
2018,7,Yemen,Al Bayda,51.30368
2018,7,Yemen,Al Hudaydah,58.757221
2018,7,Yemen,Al Jawf,48.381168
2018,7,Yemen,Al Maharah,71.061813
2018,7,Yemen,Al Mahwit,54.40469
2018,7,Yemen,Amran,51.353088
2018,7,Yemen,Dhamar,52.140141
2018,7,Yemen,Hadramaut,59.172199
2018,7,Yemen,Hajjah,52.7542
2018,7,Yemen,Ibb,51.487289
2018,7,Yemen,Lahj,50.342171
2018,7,Yemen,Marib,46.492901
2018,7,Yemen,Raymah,39.363739
2018,7,Yemen,Sa'dah,57.45042
2018,7,Yemen,Sana'a,52.89941
2018,7,Yemen,Sana'a City,58.24258
2018,7,Yemen,Shabwah,56.253502
2018,7,Yemen,Taizz,49.802608
2018,8,Yemen,Yemen,53.525848
2018,8,Yemen,Abyan,51.103779
2018,8,Yemen,Ad Dali,46.23772
2018,8,Yemen,Aden,60.623699
2018,8,Yemen,Al Bayda,50.714668
2018,8,Yemen,Al Hudaydah,59.734268
2018,8,Yemen,Al Jawf,52.963181
2018,8,Yemen,Al Maharah,69.80864
2018,8,Yemen,Al Mahwit,53.056728
2018,8,Yemen,Amran,47.923359
2018,8,Yemen,Dhamar,53.397678
2018,8,Yemen,Hadramaut,55.047199
2018,8,Yemen,Hajjah,52.706051
2018,8,Yemen,Ibb,50.031898
2018,8,Yemen,Lahj,48.69516
2018,8,Yemen,Marib,50.254002
2018,8,Yemen,Raymah,42.537201
2018,8,Yemen,Sa'dah,59.978931
2018,8,Yemen,Sana'a,50.881222
2018,8,Yemen,Sana'a City,59.170029
2018,8,Yemen,Shabwah,53.849388
2018,8,Yemen,Taizz,50.428711
2018,9,Yemen,Yemen,49.985359
2018,9,Yemen,Abyan,45.6548
2018,9,Yemen,Ad Dali,45.22406
2018,9,Yemen,Aden,58.163811
2018,9,Yemen,Al Bayda,45.409149
2018,9,Yemen,Al Hudaydah,56.622372
2018,9,Yemen,Al Jawf,48.865398
2018,9,Yemen,Al Mahwit,52.254871
2018,9,Yemen,Amran,49.27597
2018,9,Yemen,Dhamar,50.047852
2018,9,Yemen,Hadramaut,46.252651
2018,9,Yemen,Hajjah,47.979599
2018,9,Yemen,Ibb,47.328579
2018,9,Yemen,Lahj,44.8913
2018,9,Yemen,Marib,47.783321
2018,9,Yemen,Raymah,40.62529
2018,9,Yemen,Sa'dah,55.562592
2018,9,Yemen,Sana'a,49.000771
2018,9,Yemen,Sana'a City,54.347229
2018,9,Yemen,Shabwah,50.031349
2018,9,Yemen,Taizz,46.418152
2018,10,Yemen,Yemen,47.698811
2018,10,Yemen,Abyan,41.936279
2018,10,Yemen,Ad Dali,43.115559
2018,10,Yemen,Aden,62.156361
2018,10,Yemen,Al Bayda,42.45834
2018,10,Yemen,Al Hudaydah,54.39642
2018,10,Yemen,Al Jawf,43.632038
2018,10,Yemen,Al Maharah,63.829319
2018,10,Yemen,Al Mahwit,46.693958
2018,10,Yemen,Amran,44.490391
2018,10,Yemen,Dhamar,47.575321
2018,10,Yemen,Hadramaut,52.574638
2018,10,Yemen,Hajjah,44.122162
2018,10,Yemen,Ibb,43.40831
2018,10,Yemen,Lahj,43.238571
2018,10,Yemen,Marib,46.178459
2018,10,Yemen,Raymah,37.334381
2018,10,Yemen,Sa'dah,52.915581
2018,10,Yemen,Sana'a,47.688648
2018,10,Yemen,Sana'a City,51.558578
2018,10,Yemen,Shabwah,49.886822
2018,10,Yemen,Taizz,43.34824
2018,11,Yemen,Yemen,49.545849
2018,11,Yemen,Abyan,46.828339
2018,11,Yemen,Ad Dali,41.832539
2018,11,Yemen,Aden,57.877499
2018,11,Yemen,Al Bayda,45.043968
2018,11,Yemen,Al Hudaydah,56.616669
2018,11,Yemen,Al Jawf,47.898472
2018,11,Yemen,Al Maharah,65.080757
2018,11,Yemen,Al Mahwit,50.84108
2018,11,Yemen,Amran,47.336891
2018,11,Yemen,Dhamar,49.179691
2018,11,Yemen,Hadramaut,57.84811
2018,11,Yemen,Hajjah,48.26836
2018,11,Yemen,Ibb,44.02652
2018,11,Yemen,Lahj,46.215591
2018,11,Yemen,Marib,43.28574
2018,11,Yemen,Raymah,43.158211
2018,11,Yemen,Sa'dah,56.080109
2018,11,Yemen,Sana'a,48.202728
2018,11,Yemen,Sana'a City,51.095161
2018,11,Yemen,Shabwah,51.79678
2018,11,Yemen,Taizz,45.366421
2018,12,Yemen,Yemen,50.540031
2018,12,Yemen,Abyan,48.579849
2018,12,Yemen,Ad Dali,42.575298
2018,12,Yemen,Aden,63.669991
2018,12,Yemen,Al Bayda,45.881691
2018,12,Yemen,Al Hudaydah,53.68367
2018,12,Yemen,Al Jawf,51.313309
2018,12,Yemen,Al Maharah,68.191917
2018,12,Yemen,Al Mahwit,52.219791
2018,12,Yemen,Amran,48.245548
2018,12,Yemen,Dhamar,47.765121
2018,12,Yemen,Hadramaut,58.593269
2018,12,Yemen,Hajjah,51.173889
2018,12,Yemen,Ibb,47.012119
2018,12,Yemen,Lahj,43.263088
2018,12,Yemen,Marib,45.660919
2018,12,Yemen,Raymah,43.01899
2018,12,Yemen,Sa'dah,55.364109
2018,12,Yemen,Sana'a,49.253189
2018,12,Yemen,Sana'a City,53.23914
2018,12,Yemen,Shabwah,54.13134
2018,12,Yemen,Taizz,48.393639
2018,1,Yemen,Marib,44.199711
2019,1,Yemen,Marib,44.93578
